University,Country,Latitude,Longitude
Universidad de Bologna - Representación en Buenos Aires,Argentina,-34.5965156,-58.3832817
Universidad de Buenos Aires,Argentina,-34.6036844,-58.3815591
Universidad de Ciencias Empresariales y Sociales,Argentina,-34.5982262,-58.38706140000001
Universidad de Concepción del Uruguay,Argentina,-32.4815978,-58.22969200000001
Universidad de Congreso,Argentina,-32.894923,-68.841673
Universidad de Flores - Buenos Aires,Argentina,-34.6224448,-58.4463684
Universidad del Aconcagua,Argentina,-32.8899257,-68.8364086
Universidad de la Cuenca del Plata,Argentina,-27.4752595,-58.85261360000001
Universidad de la Fraternidad de Agrupaciones Santo Tomas de Aquino (FASTA),Argentina,-38.0066967,-57.56346680000001
Universidad de la Marina Mercante,Argentina,-34.6099313,-58.39838839999999
Universidad del Centro Educativo Latinoamericano Rosario,Argentina,-32.956477,-60.6440785
Universidad del Cine - Buenos Aires,Argentina,-34.6178532,-58.37074370000001
Universidad del Museo Social Argentino,Argentina,-34.6053651,-58.38880999999999
"Universidad del Norte ""Santo Tomás de Aquino""",Argentina,-26.8333056,-65.2054138
Universidad del Salvador,Argentina,-34.6013439,-58.39154569999999
Universidad de Mendoza,Argentina,-32.8913798,-68.8618094
Universidad de Morón,Argentina,-34.6467476,-58.6201276
Universidad de Palermo,Argentina,-34.5973151,-58.4158971
Universidad de San Andres,Argentina,-34.4465869,-58.529389
Universidad Empresarial Siglio 21,Argentina,-31.322187,-64.2219203
Universidad ISALUD,Argentina,-34.6139659,-58.3794865
"Universidad ""Juan Agustín Maza""",Argentina,-32.8994071,-68.81011860000001
Universidad Maimónides,Argentina,-34.6104213,-58.4405302
Universidad Nacional de Catamarca,Argentina,-28.4590057,-65.7832134
Universidad Nacional de Córdoba,Argentina,-31.4354855,-64.1855702
Universidad Nacional de Cuyo,Argentina,-32.880732,-68.8779859
Universidad Nacional de Entre Ríos,Argentina,-32.4802309,-58.2620585
Universidad Nacional de Formosa,Argentina,-26.1922042,-58.20025570000001
Universidad Nacional de General San Martín,Argentina,-34.5795655,-58.5265226
Universidad Nacional de General Sarmiento,Argentina,-34.5231018,-58.70047760000001
Universidad Nacional de Jujuy,Argentina,-24.1792858,-65.3246648
Universidad Nacional de La Matanza,Argentina,-34.6707576,-58.5628052
Universidad Nacional de Lanus,Argentina,-34.7355252,-58.3910807
Universidad Nacional de La Pampa,Argentina,-38.416097,-63.61667199999999
Universidad Nacional de la Patagonia Austral,Argentina,-46.4336065,-67.5208076
"Universidad Nacional de la Patagonia ""San Juan Bosco""",Argentina,-54.80751129999999,-68.32579679999999
Universidad Nacional de La Plata,Argentina,-34.91327649999999,-57.95124740000001
Universidad Nacional de La Rioja,Argentina,-29.4299009,-66.86877059999999
Universidad Nacional del Centro de la Provincia de Buenos Aires,Argentina,-37.3287435,-59.138726
Universidad Nacional del Comahue,Argentina,-38.94021499999999,-68.05750809999999
Universidad Nacional del Littoral,Argentina,-31.6348576,-60.7051787
Universidad Nacional del Nordeste,Argentina,-27.4640667,-58.83957969999999
Universidad Nacional del Noroeste de la Provincia de Buenos Aires,Argentina,-34.571259,-60.94938339999999
Universidad Nacional de Lomas de Zamora,Argentina,-34.76118230000001,-58.4302476
Universidad Nacional del Sur,Argentina,,
Universidad Nacional de Luján,Argentina,-38.416097,-63.61667199999999
Universidad Nacional de Mar del Plata,Argentina,-38.005743,-57.5713091
Universidad Nacional de Misiones,Argentina,-27.4345919,-55.8877937
Universidad Nacional de Quilmes,Argentina,-34.7065325,-58.2783994
Universidad Nacional de Río Cuarto,Argentina,-33.1100555,-64.3017911
Universidad Nacional de Rosario,Argentina,-32.9503129,-60.63599929999999
Universidad Nacional de Salta,Argentina,-24.7280425,-65.40931979999999
Universidad Nacional de San Juan,Argentina,-31.5372745,-68.5204732
Universidad Nacional de San Luis,Argentina,-38.416097,-63.61667199999999
Universidad Nacional de Santiago del Estero,Argentina,-27.7833574,-64.264167
Universidad Nacional de Tres de Febrero,Argentina,-34.61384779999999,-58.5429553
Universidad Nacional de Tucumán,Argentina,-26.8363941,-65.2111515
Universidad Nacional de Villa María,Argentina,-32.3822336,-63.2607983
Universidad Notarial Argentina,Argentina,-34.9120905,-57.94580329999999
Universidad Tecnológica Nacional,Argentina,-34.6045381,-58.37278139999999
Universidad Torcuato di Tella,Argentina,-34.5480059,-58.44694390000001
Akademie der bildenden Künste Wien,Austria,48.2012533,16.3651029
Donau-Universität Krems,Austria,48.4081548,15.5862305
Fachhochschule Burgenland,Austria,47.516231,14.550072
Fachhochschule für Bank- und Finanzwirtschaft,Austria,47.516231,14.550072
Fachhochschule JOANNEUM,Austria,47.0690816,15.4099195
Fachhochschule Kärnten,Austria,46.6111798,13.8833416
Fachhochschule Krems,Austria,48.4087589,15.5888662
Fachhochschule Kufstein (Tirol),Austria,47.583807,12.173668
Fachhochschule Salzburg,Austria,47.7233835,13.0871253
Fachhochschule St. Pölten,Austria,48.21366159999999,15.6314419
Fachhochschule Vorarlberg,Austria,47.4062917,9.7446441
Fachhochschule Wiener Neustadt,Austria,47.8387505,16.2479429
Fachhochschulstudiengänge der Wiener Wirtschaft,Austria,48.1952952,16.3672978
Fachhochschulstudiengänge Hagenberg,Austria,48.3669367,14.5172742
Fachhochschulstudiengänge Krems IMC,Austria,48.4087589,15.5888662
Fachhochschulstudiengänge Steyr,Austria,48.05009,14.41827
Fachhochschulstudiengänge Wels,Austria,48.16542,14.03664
Institute of Science and Technology,Austria,48.309852,16.259696
Katholisch-Theologische Privatuniversität Linz,Austria,48.3039171,14.291706
MCI-Management Center Innsbruck,Austria,47.2693557,11.39847
Medizinische Universität Graz,Austria,47.0809538,15.4699342
Medizinische Universität Innsbruck,Austria,47.25967960000001,11.386966
Medizinische Universität Wien,Austria,48.2196447,16.3475329
Montanuniversität Leoben,Austria,47.3847372,15.0930201
Private Universität für Medizinische Informatik und Technik Tirol,Austria,47.2836374,11.5172275
Technikum Wien,Austria,48.23928309999999,16.3773241
Technische Universität Graz,Austria,47.0694191,15.4503768
Technische Universität Wien,Austria,48.1986546,16.3684626
Universität für angewandte Kunst Wien,Austria,48.208361,16.3823507
Universität für Bodenkultur Wien,Austria,48.2365448,16.337579
Universität für künstlerische und industrielle Gestaltung Linz,Austria,48.30566839999999,14.2889572
Universität für Musik und darstellende Kunst Graz,Austria,47.07225640000001,15.4499422
Universität für Musik und darstellende Kunst  Wien,Austria,48.2018433,16.3848833
Universität Graz,Austria,47.0776328,15.4495241
Universität Innsbruck,Austria,47.26335419999999,11.3838006
Universität Klagenfurt,Austria,46.6160474,14.2654238
Universität Linz,Austria,48.30694,14.28583
Universität Mozarteum Salzburg,Austria,47.8038789,13.0436663
Universität Salzburg,Austria,47.7972387,13.0480986
Universität Vienna,Austria,48.2130573,16.3606723
Veterinärmedizinische Universität Wien,Austria,48.2542856,16.4291164
Webster University  Vienna,Austria,48.2141345,16.3827287
Wirtschaftsuniversität Wien,Austria,48.21342749999999,16.4084666
Australian Catholic University,Australia,,
Australian Correspondence Schools,Australia,-25.274398,133.775136
Australian Defence Force Academy,Australia,-35.2917997,149.1661406
Australian Lutheran College,Australia,-34.9089566,138.5931993
Australian Maritime College,Australia,-41.4010143,147.1204258
Australian National University,Australia,-35.2812533,149.1183238
Avondale College,Australia,-33.0871163,151.4613454
Batchelor Institute of Indigenous Tertiary Education,Australia,-13.047125,131.0328725
Blue Mountains Hotel School,Australia,-33.719429,150.3425292
Bond University,Australia,-28.0730934,153.4166377
Central Queensland University,Australia,-25.274398,133.775136
Charles Darwin University,Australia,-12.3719948,130.8688636
Charles Sturt University,Australia,-25.274398,133.775136
Curtin University of Technology,Australia,-32.0054649,115.8919818
Deakin University,Australia,-25.274398,133.775136
Edith Cowan University,Australia,-31.7524902,115.7727799
Flinders University of South Australia,Australia,-35.0253003,138.5699562
Griffith University,Australia,-25.274398,133.775136
Holmes Institute,Australia,-25.274398,133.775136
Institute Of Technology  Australia,Australia,-34.9247536,138.5998427
International College of Tourism and Hotel Management,Australia,-25.274398,133.775136
James Cook University of North Queensland,Australia,-19.3258585,146.7566603
La Trobe University,Australia,-25.274398,133.775136
Macquarie University,Australia,-25.274398,133.775136
Marcus Oldham College,Australia,-38.1890833,144.2983668
Monash University,Australia,-37.9142416,145.1346592
Murdoch University,Australia,-32.0663179,115.839624
Queensland University of Technology,Australia,-27.4785213,153.0283645
Royal Melbourne Institute of Technology,Australia,-37.8083332,144.9639386
Southern Cross University,Australia,-28.8193845,153.2994738
Swinburne University of Technology,Australia,-37.8221504,145.0389546
University of Adelaide,Australia,-34.9284989,138.6007456
University of Ballarat,Australia,-37.626441,143.8910952
University of Canberra,Australia,-35.2381421,149.0838384
University of Divinity,Australia,-37.8263223,145.132555
University of Melbourne,Australia,-37.7983459,144.960974
University of Newcastle,Australia,-32.8927718,151.7041775
University of New England,Australia,-30.4899535,151.6410199
University of New South Wales,Australia,-33.917347,151.2312675
University of Notre Dame Australia,Australia,-32.0560925,115.7434254
University of Queensland,Australia,-27.4975028,153.0136905
University of South Australia,Australia,-25.274398,133.775136
University of Southern Queensland,Australia,-27.6045414,151.9302108
University of Sydney,Australia,-25.274398,133.775136
University of Tasmania,Australia,-42.0409059,146.8087322
University of Technology Sydney,Australia,-33.8832376,151.2004942
University of the Sunshine Coast,Australia,-26.7169935,153.0658032
University of Western Australia,Australia,-31.9789061,115.8180721
University of Western Sydney,Australia,-25.274398,133.775136
University of Wollongong,Australia,-25.274398,133.775136
Academy of Public Administration,Azerbaijan ,40.3656955,49.8294451
Azerbaijan Diplomatic Academy,Azerbaijan ,40.394599,49.84938
Azerbaijan International University,Azerbaijan ,40.4350582,49.85578539999999
Azerbaijan Medical University,Azerbaijan ,40.3955752,49.832795
Azerbaijan National Conservatorie,Azerbaijan ,40.143105,47.576927
Azerbaijan State Economic University,Azerbaijan ,40.3676432,49.8321652
Azerbaijan State Oil Academy,Azerbaijan ,40.3785442,49.8485665
Azerbaijan Technical University,Azerbaijan ,40.3701006,49.8154458
Azerbaijan Technology University,Azerbaijan ,40.6885645,46.3867907
Azerbaijan Toursim Institute,Azerbaijan ,40.3980045,49.8572512
Azerbaijan University,Azerbaijan ,40.3954222,49.84375180000001
Azerbaijan University ol Languages,Azerbaijan ,40.3954222,49.84375180000001
Baki Business University,Azerbaijan ,40.39714,49.80615
Baku Slavic University,Azerbaijan ,40.3838997,49.8434369
Baku State University,Azerbaijan ,40.3745539,49.8114651
